Pleknaam	Historical Name	(GvH) Opmerking	(GvH) Wisselvorme	(GvH) Land	Province	(GvH) Kategorie	Description	latitude	longitude
Atholl Heights		Gedeelte van Westville		RSA	KwaZulu-Natal	Gedeelte	Town	-29.8102777777778	30.9202777777778
Atlantis				RSA	Western Cape	Dorp	Station	-33.5963888888889	18.4558333333333
Atlantis				RSA	Western Cape	Dorp	Urban Area	-33.5672222222222	18.5002777777778
Atteridgeville				RSA	Gauteng	Township	Station	-25.7622222222222	28.075
Atteridgeville				RSA	Gauteng	Township	Town	-25.7713888888889	28.0736111111111
Auckland Park				RSA	Gauteng	Voorstad	Town	-26.1869444444444	28.005
Augrabies				RSA	Northern Cape	Dorp	Town	-28.66	20.4305555555556
Augrabies				RSA	Northern Cape	Dorp	Area	-29.2619444444444	17.0919444444444
Aureus				RSA	Gauteng	Voorstad	Town	-26.1930555555556	27.6966666666667
Aurora				RSA	Limpopo	Dorp	Group of huts	-23.4558333333333	28.8788888888889
Aurora				RSA	Western Cape	Dorp	Urban Area	-32.7044444444444	18.485
Aurora				RSA	Western Cape	Dorp	Urban Area	-33.8302777777778	18.6319444444444
Baardskeerdersbos				RSA	Western Cape	Dorp	Town	-34.5888888888889	19.5702777777778
Badirile				RSA		Dorp	Town		
Badplaas				RSA	Mpumalanga	Dorp	Town	-25.9527777777778	30.5630555555556
Bakone				RSA	Limpopo	Nedersetting	Group of huts	-23.7511111111111	29.05
Bakoven				RSA	Western Cape	Nedersetting	Urban Area	-33.96	18.3827777777778
Balfour				RSA	Mpumalanga	Dorp	Town	-26.6555555555556	28.5911111111111
Balfour				RSA	Eastern Cape	Dorp	Area	-32.5375	26.6722222222222
Ballengeich				RSA	KwaZulu-Natal	Dorp	Town	-27.8969444444444	29.9736111111111
Ballengeich				RSA	KwaZulu-Natal	Dorp	Station	-27.8858333333333	29.9786111111111
Bandelierkop				RSA	Limpopo	Dorp	Town	-23.3183333333333	29.8027777777778
Bandelierkop				RSA	Limpopo	Dorp	Station	-23.3186111111111	29.8002777777778
Baroe				RSA	Eastern Cape	Nedersetting	Station	-33.2241666666667	24.5680555555556
Barrydale				RSA	Western Cape	Dorp	Urban Area	-33.905	20.7236111111111
Batho				RSA	Free State	Gebied-Dorp	Urban Area	-29.1369444444444	26.2297222222222
Bathurst				RSA	Eastern Cape	Dorp	Town	-33.4977777777778	26.8180555555556
Bathurst				RSA	Eastern Cape	Dorp	Station	-33.5044444444444	26.8430555555556
Baynesfield				RSA	KwaZulu-Natal	Dorp	Station	-29.7622222222222	30.3505555555556
